ID,n_points,yD_bary,yB_bary,chi2_red_bary,wrms_bary_kms,yD_halo,yB_halo,vinf_kms,rc_kpc,chi2_red_halo,wrms_halo_kms,wrms_improvement_kms
IC4202,32,1.448245807034327,0.492996416330454,32.361881518281415,24.105575557417488,0.08923435492909011,2.8583682205900823e-29,267.77115615606556,2.0151397067164383,8.20896936152723,14.332355780742322,9.773219776675166
KK98-251,15,1.9999999999999902,0.0,7.654138570980663,5.3456010574110815,1.1149630124134078e-13,0.0,51.65094240284115,1.9576045096694936,0.29782431676557247,0.9762365561941593,4.369364501216922
NGC0024,29,1.9999999999999998,0.0,23.390253317403456,15.587704369561905,0.6606333014731746,0.0,103.78145616367364,0.6467743266690821,0.3301705160515474,3.1747895611015853,12.41291480846032
NGC0055,21,1.9999999999999998,0.0,17.88817241285389,11.540791310057562,2.6398725650448345e-16,0.0,98.97505929220203,3.1721429311586498,0.25807962487487046,1.518038264434402,10.02275304562316
NGC0100,21,1.8691157762028394,0.0,9.703666375603131,17.04447833023287,0.3176033608551699,0.0,103.52981905306905,2.4133271914597008,0.08308780692366564,1.2071566564469816,15.837321673785889
NGC0247,26,1.9999999999999998,0.0,15.636083876807309,14.670251986800114,2.0118633524752275e-17,0.0,99.66025171048977,1.6311926589507981,2.101128880588931,5.658187507362799,9.012064479437315
NGC0289,28,1.7510592550921362,0.0,43.613421507804844,63.37671835493053,0.6048012531570295,0.0,156.63448907568602,3.8750798285469443,2.0038045500976605,10.03024141869945,53.346476936231085
NGC0300,25,1.9999999999999998,0.0,46.06530459642028,22.552992085853635,0.9918483191625559,0.0,107.74980276543467,3.205031069636134,0.42043101490905266,3.1481869717366364,19.404805114117
NGC0801,13,0.9182008447331014,0.0,52.72270162090327,33.83496877524812,0.6595775358622245,0.0,219.3459034237575,23.454150173687914,5.650221711152007,12.765781508116453,21.069187267131667
NGC0891,18,0.8151104666478253,0.14240700196910164,80.28066216994583,43.54275245129819,0.18536727890963037,0.5888279572697214,207.13296316330133,1.6958199540532013,3.551445195295448,10.640288922373093,32.9024635289251
NGC1003,36,1.9999999999999998,0.0,252.54709249338057,38.70170850616595,0.9028730002000588,0.0,125.42624446011949,6.9947339081407565,2.457958851846719,3.971712120219277,34.72999638594667
NGC1090,24,1.3561569428550333,0.0,53.673369805750426,26.86787572940506,0.45807334273294936,0.0,145.64572488152425,2.6671214090187276,1.4450047790927407,6.564045515742743,20.303830213662316
NGC1705,14,1.999999999999972,0.0,35.246119852812654,28.78399595168113,1.7562326928913345,0.0,73.8311964731918,0.8296860647722635,0.0855607839021204,1.894982697855219,26.88901325382591
NGC2366,26,1.9999999999999998,0.0,39.527062101182466,12.9758618604516,3.13438446336116e-14,0.0,56.88527848376576,1.191670120197005,0.7688165605032613,2.6743575364534937,10.301504323998106
NGC2403,73,1.9440958630542033,0.0,840.1379531168416,37.897958779149306,0.7575659237335787,0.0,134.36755463278357,3.029117172409113,10.696445008498479,4.734464722969675,33.16349405617963
NGC2683,11,1.0811566903541334,5.604178053732599e-20,14.160512639277407,31.788343649318147,0.673440390709845,8.736978211947537e-09,137.52610173922196,1.7235752792705077,1.1954512356223082,7.726171645472853,24.062172003845294
NGC2841,50,1.9999999999999993,1.6739862417039943,178.6333215824253,73.74531295846378,1.1530231608706762,1.049247577063753,276.07653490027417,10.034828544009084,1.3614920473982368,6.2070969091792625,67.53821604928453
NGC2903,34,0.903937349654821,0.0,209.4821066617355,57.084708626788235,0.29953928612503933,0.0,176.63601763201024,0.9432434117432543,6.233329147680754,16.998452380332935,40.0862562464553
NGC2915,30,1.9999999999999998,0.0,39.75782575386393,42.95118676311887,9.793852059897069e-20,0.0,88.62213077929842,0.7562220266958712,0.4573136356521533,5.656403751758701,37.29478301136017
NGC2955,24,0.7240425835378913,0.683493291628287,9.90463660531612,27.657573753863048,0.21064846611332858,0.8345220971591578,249.27000921031356,5.699967490698182,3.6883235295334194,13.322364528285691,14.335209225577357
NGC2976,27,0.9310527397981054,0.0,0.7743624898196306,3.406105187377576,0.4131437551725725,0.0,129.91908440943024,1.837859762157577,0.3002846513079934,1.7905786335694196,1.6155265538081562
NGC2998,13,1.543515164988089,0.0,41.799941296371664,33.652973377528944,0.8838840947822945,0.0,205.89128861064248,14.408341854154665,2.996322678760177,21.00864409221751,12.644329285311436
NGC3109,25,1.9999999999906701,0.0,100.300446911673,26.444728371053138,0.2866569847330236,0.0,91.60839573681204,2.7889570501682335,0.20852081734747968,0.8777566753827386,25.5669716956704
NGC3198,43,1.3320847004148029,0.0,235.380115379434,34.16670193264366,0.5166816590613623,0.0,142.35263971768128,2.7770984292396013,1.2416836065712777,5.553531267581026,28.613170665062636
NGC3521,41,0.6626216557089484,0.0,8.211001400495144,23.078129252407752,0.5806665552870305,0.0,262.8898380070518,9.333400477937927,0.1783808841133172,4.2688339618534545,18.809295290554296
NGC3726,12,0.8323477358439968,0.0,16.738580089058516,35.66808448405624,0.6495270720697094,0.0,284.68554677733783,28.0497070654926,1.9526398216605978,6.635216780619858,29.03286770343638
NGC3741,21,1.9999999999999998,0.0,107.52528366395067,23.83391859257888,1.5022401952409796,0.0,61.6143659109294,1.9196114929235288,0.43463790985697215,1.3665439542311972,22.467374638347682
NGC3769,12,1.2295010085011535,0.0,21.51479805119969,37.77237660575707,0.23976294436624768,0.0,117.62197975571517,1.31270955457787,0.5600995075310556,4.201305070349707,33.57107153540736
NGC3877,13,0.7632168097317686,0.0,7.560229894342272,19.87699823169402,4.705346014466527e-19,0.0,196.88480205459706,1.6522302934823572,1.381289295742776,7.8601604668619425,12.01683776483208
NGC3893,10,0.9061870836429988,0.0,17.097391214124812,34.6389857505947,0.4040564190897437,0.0,170.1872493454693,1.814851150215017,0.47286012249581855,5.573196534599768,29.065789215994933
NGC3917,17,1.5586166044550276,0.0,4.997199409060742,10.120335119087136,0.5582558699204954,0.0,135.3475928430246,2.7923806304143968,1.4033709929543456,4.308889775415992,5.811445343671144
NGC3949,7,0.6334747842510303,0.0,2.2356828642573228,18.393057176033807,0.531121562023658,0.0,499.99999999999994,17.33122941967258,0.41786308467209393,3.329896352058764,15.063160823975043
NGC3953,8,0.8500683146118954,0.0,0.6758320418421097,5.517456809351518,0.4670621158823731,0.0,163.34184835966863,1.2478340041125981,0.3353126407882433,2.9207680157582736,2.596688793593245
NGC3972,10,1.47152249240384,0.0,4.294288583687821,9.755142164119798,2.0416174611001193e-23,0.0,153.8011672742582,1.7957433907433975,0.17542523256549286,1.6888913494264872,8.06625081469331
NGC3992,9,1.4625026848175162,0.0,20.709497916858847,28.393183945756437,1.126080954616794,0.0,300.00878059802915,32.06488534562185,1.0608043266137588,5.529997428330933,22.863186517425504
NGC4010,12,1.2897179546548492,0.0,8.658139617702595,15.599224969798593,0.1941543545625581,0.0,146.62961558931644,2.922560382498589,1.6172640695714944,6.020655868913951,9.578569100884643
NGC4013,36,0.8441982791963568,1.9999999999999998,60.086653492132555,37.82050627958942,0.5427251145798433,1.3004680416074048,225.19195663154025,14.64320706009762,0.7543591638203688,4.987528824352986,32.83297745523643
NGC4051,7,0.7096671536308417,0.0,1.343568039011087,10.18816154375856,0.3799498265892876,0.0,119.23867556824099,1.3591762260014284,0.8016309815096,4.8238350616109384,5.364326482147622
NGC4068,6,1.4083922523787415,0.0,2.718174288425583,5.163642484629944,4.105756470949962e-15,0.0,62.911759783731625,1.6401523943976983,0.09206719791005726,0.6178322017126184,4.5458102829173255
NGC4085,7,0.6524772404873098,0.0,9.099856244116138,18.47822675547293,2.7172963901723654e-23,0.0,171.28358725303406,1.622447182191294,1.2573645200788766,4.991196323971385,13.487030431501546
NGC4088,12,0.5943330416219237,0.0,9.993136195195847,22.458750547808314,0.4425248873590613,0.0,330.8145868132968,27.13630923934315,0.49611126105027004,5.235820168113226,17.22293037969509
NGC4100,24,1.2354752481684592,0.0,13.250054731921024,22.482710099286805,0.5933941804658561,0.0,148.27983949288043,1.571400520162262,1.0915278820949936,6.354666523442198,16.128043575844607
NGC4138,7,1.272950099250666,2.528074017787333e-15,4.6382079089153,28.449894576481253,0.8511518264391364,2.5311882697688603e-09,123.05472586407139,1.5807978285380198,1.064857173785304,8.449603190676777,20.000291385804474
NGC4157,17,0.8464543958884615,7.339878806152536e-14,17.71904852267481,36.061838586936915,0.5607065978696847,3.4579370180732744e-17,231.10030638563094,14.301317926411468,0.21452887385190092,3.519312509245074,32.54252607769184
NGC4183,23,1.999999999999123,0.0,5.950081672911645,14.85105146028589,1.7589888670641036,0.0,499.9999999599785,68.7464316372388,0.2444190164491801,2.6425840114697183,12.20846744881617
NGC4214,14,1.9999999999999998,0.0,10.352275628686904,22.03276302486902,1.2862615392916945,0.0,102.53246918647442,2.1129709122962925,0.8285511152115649,5.553997614205592,16.478765410663428
NGC4217,19,1.9999999999999978,0.328139474274487,17.388137661491932,29.482268867465155,1.0285349546515736,0.1113554896042913,173.2143360460938,2.0316518792672675,1.0573472494039844,6.911444351910563,22.57082451555459
NGC4389,6,0.3117777603204284,0.0,6.770334488520874,16.040728990343837,0.03954882986068276,0.0,189.8932281337377,4.24363290187607,0.17759417641395792,2.021709263464785,14.019019726879051
NGC4559,32,1.3303507732003819,0.0,17.651795858502613,22.507042535772154,0.17671816970050583,0.0,117.21885514082986,1.4140102679574769,0.27111950286550696,2.7556037089322367,19.751438826839916
NGC5005,18,0.7517338279338048,0.396356443271,0.4357665437613284,15.023217101595723,0.5974493662073664,0.5019304876056485,299.937985351253,9.918152886328379,0.056156795100237945,6.383427263833989,8.639789837761734
NGC5033,22,1.9999999999999991,0.22893868746856488,129.7680125897435,53.61516616071642,0.6854388529652019,0.2793276289375325,184.4527181299711,2.15097335483001,6.3682079357622525,11.927578846142804,41.68758731457362
NGC5055,28,0.6515198509159685,0.0,1542.9532420988269,47.03088187367566,0.3796742262670491,0.0,168.2259430452414,3.294118891198873,7.663131265782779,3.730297719309027,43.30058415436663
NGC5371,19,0.7335810587343405,0.0,22.35599081600023,19.44944176525916,0.6631811533595745,0.0,499.99999999999426,100.49343375775862,8.823405923858996,12.239528073443287,7.209913691815872
NGC5585,24,1.3561321854501243,0.0,163.59547651226978,21.726720827876896,0.6242624648409264,0.0,107.74302538209717,3.3912799063207593,4.6882629790839045,3.3351108615819114,18.391609966294986
NGC5907,19,1.3958194001586213,0.0,114.89133656728374,30.559031641724395,0.9875840016146122,0.0,263.93267985215476,29.612782261464694,5.273656057890052,9.001671934502026,21.557359707222368
NGC5985,33,1.8835378916452843,1.9999999999999998,13.4723405041575,16.71749169308609,0.39705114845380346,3.97959635640516e-13,266.05284465164834,0.7196115515635744,2.2518954478476476,9.215650029943166,7.501841663142923
NGC6015,44,1.2558251936456122,0.0,77.30866986241047,36.99790669950406,1.0728271701647438,0.0,199.6641398746911,13.652104797630425,8.656753504900538,7.841095669991114,29.156811029512944
NGC6195,23,0.8761692225621993,0.6485171726140414,10.921578631570545,17.23515364920158,0.27161842027545785,0.7746491839558818,247.4213242822046,10.626466985557242,1.544380316994223,9.279970550557227,7.955183098644355
NGC6503,31,1.999999999999969,0.0,347.6180036097178,36.56134043244585,0.24913655427131173,0.0,111.9456580631955,0.5931969557179769,1.1355389390285713,2.245318760136684,34.31602167230917
NGC6674,15,1.9999999999999998,1.9999999999999998,239.8175032997965,50.30086327320792,1.391589459339685,1.1856250331355567,349.7764361982829,49.45328488620484,1.2370643473789456,8.441969646136826,41.8588936270711
NGC6789,4,1.9999999999998295,0.0,8.441702653553966,16.23746353810969,1.3531463072728898,0.0,499.99999999974045,3.820303065877788,0.3715583114469975,1.2076374405952042,15.029826097514485
NGC6946,58,0.8344165910560347,0.33887779946511304,20.40772879449621,21.819442686186378,0.5398144549547036,0.5688939715949659,150.8317599837629,4.151395473823611,1.486680924857833,4.942543212883743,16.876899473302636
NGC7331,36,0.8392473651868948,7.262069965383476e-16,115.73718449995874,52.2139574211359,0.4469158447352634,4.523081707509261e-16,238.557313593363,8.493278588020726,0.8650179224920264,4.212955581793672,48.00100183934223
