ID,n_points,wrms_bary_kms,chi2_red_bary,wrms_free_kms,chi2_red_free,vinf_free_kms,rc_free_kpc,logMb,vinf_btfr_kms,rc_btfr_kpc,wrms_btfr_kms,chi2_red_btfr,vinf_freepred_kms,rc_freepred_kpc,wrms_freepred_kms,chi2_red_freepred
NGC3893,10,34.6389857505947,17.097391214124812,5.573196534599768,0.4728601224958185,170.1872493454693,1.814851150215017,10.57,166.6023971914855,1.746122415937489,5.1891317804001265,0.4425290091362146,167.1705728491579,1.7541049739892853,5.227707377917271,0.43414512292845414
NGC3917,17,10.120335119087136,4.997199409060742,4.308889775415992,1.4033709929543456,135.3475928430246,2.7923806304143968,10.13,129.32463044331868,2.8424155665570576,4.370326887544769,1.3372349988974528,131.0870622306358,2.8272144031949895,4.339144814584383,1.3236918760577756
NGC3949,7,18.393057176033807,2.2356828642573228,3.329896352058764,0.4178630846720939,500.0,17.33122941967258,10.37,148.48454279224222,0.9144780835260301,4.396572612161682,0.1733840880890539,149.67864076587747,2.923041574203649,5.882303550322926,0.5187981800882611
NGC3953,8,5.517456809351518,0.6758320418421097,2.9207680157582736,0.3353126407882433,163.34184835966863,1.247834004112598,10.87,198.0073201584272,26.98845105562117,4.228488208471376,0.6071024785787954,197.31487680758173,26.880352001545972,4.228919139348618,0.6071628621152082
NGC3972,10,9.755142164119798,4.294288583687821,1.6888913494264872,0.1754252325654928,153.8011672742582,1.7957433907433975,9.94,115.92610547877757,1.9914013046567225,4.72178307361514,1.1296419935018027,118.021146896212,1.9787871224434812,4.547123970707003,1.0471220816865972
NGC3992,9,28.393183945756437,20.709497916858847,5.529997428330933,1.0608043266137588,300.00878059802915,32.06488534562185,11.13,229.97532752824648,17.144132058666674,6.106699472598871,1.0569422503102983,227.80320538271985,16.58951259157321,6.14791678961747,1.0691600913196122
NGC4010,12,15.599224969798593,8.658139617702595,6.020655868913951,1.6172640695714944,146.62961558931644,2.922560382498589,10.09,126.38084245556591,3.121700618302122,7.390685046391684,1.991174717013136,128.22119811671843,3.119698761196403,7.22075879976665,1.9036631428568085
NGC4013,36,37.82050627958942,60.086653492132555,4.987528824352986,0.7543591638203688,225.19195663154025,14.64320706009762,10.64,173.45277248951135,6.190817213780624,5.938562701871497,1.199313464487043,173.7640101267415,6.254029172321989,5.922852002854776,1.1921043868884602
NGC4051,7,10.18816154375856,1.343568039011087,4.823835061610938,0.8016309815096,119.238675568241,1.3591762260014284,10.71,180.58482225630172,66.3686722438264,10.049852634677654,1.6101836695700324,180.61750163751037,66.3817469418676,10.049856208043387,1.6101837112188178
NGC4068,6,5.163642484629944,2.718174288425583,0.6178322017126184,0.0920671979100572,62.911759783731625,1.6401523943976983,8.51,50.89571806925857,1.1680193104007635,1.481857831952134,0.24010267144668448,53.55004383523548,1.273885285891618,1.223854199583365,0.15981902998086328
NGC4085,7,18.47822675547293,9.099856244116138,4.991196323971385,1.2573645200788766,171.28358725303406,1.622447182191294,10.1,127.11044702127464,1.7819269139614986,9.898972867609857,3.206455715264009,128.9317361240663,1.7782872533136742,9.665143829956152,3.0639170193632093
NGC4088,12,22.458750547808314,9.993136195195847,5.235820168113226,0.49611126105027,330.8145868132968,27.13630923934315,10.81,191.28514568546615,11.203252684257171,5.670478988092348,0.5271924770288016,190.87973820094757,11.149176164389914,5.6748846162010045,0.528103279714246
NGC4100,24,22.482710099286805,13.250054731921024,6.354666523442198,1.0915278820949936,148.27983949288043,1.571400520162262,10.53,162.8100636359833,5.060156646515211,8.192898302659046,1.753525422632524,163.5158403570337,5.435947047617674,8.17252988742834,1.7729019883139931
NGC4138,7,28.449894576481253,4.6382079089153,8.449603190676777,1.064857173785304,123.0547258640714,1.5807978285380198,10.38,149.34175341256628,5.55436168454275,10.05633156749996,1.1770749837763317,150.50808523149175,5.769085629091617,10.160722197349902,1.1922105841747308
NGC4157,17,36.061838586936915,17.71904852267481,3.519312509245074,0.2145288738519009,231.10030638563092,14.301317926411468,10.8,190.1871830953337,8.600058885504701,4.110326068168578,0.29915379565285294,189.82780705581914,8.543447079441693,4.127261394146231,0.3012934130434922
NGC4183,23,14.85105146028589,5.950081672911645,2.6425840114697183,0.2444190164491801,499.9999999599785,68.7464316372388,10.0,120.0,11.04490213196848,3.4767959734667104,0.3658228310909048,122.0,11.42909310978734,3.4339234951550357,0.35870752813157036
NGC4214,14,22.03276302486902,10.352275628686904,5.553997614205592,0.8285511152115649,102.53246918647442,2.1129709122962925,,,,,,,,,
NGC4217,19,29.482268867465155,17.388137661491932,6.911444351910563,1.0573472494039844,173.2143360460938,2.0316518792672675,10.66,175.46126093480618,2.064338301000838,6.964017336410892,0.9959415704920759,175.6951732834196,2.0680710648329925,6.97137063266915,0.9969722132109493
NGC4389,6,16.040728990343837,6.770334488520874,2.021709263464785,0.1775941764139579,189.8932281337377,4.24363290187607,,,,,,,,,
