xi,gamma,g_couple,seed,phi_mean_final,E_mean_final,phi_var_final,roughness_final,coherence_final,status_final
0.04,0.1,0.0,4,1.0185261757546797,1.0100530264638192,7.903877462120537e-06,0.003869767523887622,1.0,JHANA_ATTRACTOR_REACHED
0.0,0.15,0.0,0,-1.0002379332830356,0.999774106607285,3.0446295735758723e-06,0.004239044413091935,0.0,PARTIAL_ALIGNMENT
0.0,0.15,0.0,1,-0.1290558275306231,-0.0334057145068469,0.8980374847854721,0.1264368377058882,0.0,DOMAIN_COARSENING
0.0,0.15,0.0,2,-0.12545337325315298,0.9997029164648155,0.8991331411858601,0.06669561563606592,0.0,DOMAIN_COARSENING
0.0,0.15,0.0,3,-0.9959683690866693,1.0003419322202334,0.002334902304854441,0.014557259184380276,0.0,PARTIAL_ALIGNMENT
0.0,0.15,0.0,4,1.0008620054274153,-0.9962900675647802,0.00020363215881447365,0.019588247161179823,0.9876757439489396,JHANA_ATTRACTOR_REACHED
0.005,0.15,0.0,0,1.002589977102238,1.001244536027201,1.412289271491386e-06,0.0021807423381682324,1.0,JHANA_ATTRACTOR_REACHED
0.005,0.15,0.0,1,1.002518137227531,1.0015215537453543,5.47113190962602e-07,0.003913709412901377,0.9999052897959687,JHANA_ATTRACTOR_REACHED
0.005,0.15,0.0,2,1.0025738081057127,1.001242210457924,1.4235693104793038e-06,0.0024410312934754425,1.0,JHANA_ATTRACTOR_REACHED
0.005,0.15,0.0,3,1.0025631535734911,1.001180053991019,1.805189587486899e-07,0.0017809165398927664,1.0,JHANA_ATTRACTOR_REACHED
0.005,0.15,0.0,4,1.0025410580345364,1.001224053074973,5.589762816571855e-07,0.004506439411132913,0.9995330921237372,JHANA_ATTRACTOR_REACHED
0.01,0.15,0.0,0,1.0050487913543509,1.0025232223237879,7.895292530978163e-08,0.0006692127004534336,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.15,0.0,1,1.0050221911663866,1.0025226446780706,1.3547034740602288e-07,0.0012589496226617656,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.15,0.0,2,1.00501218805212,1.0025361418359577,8.278970710526641e-08,0.0008751801168812284,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.15,0.0,3,1.0050542756194916,1.002552811928166,9.210994834111517e-08,0.0008438887635094549,1.0,JHANA_ATTRACTOR_REACHED
0.01,0.15,0.0,4,1.0050338402351588,1.0025707636669616,7.937295096841251e-08,0.0008248821949341905,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.15,0.0,0,1.0098493376096163,1.005044857235112,6.063259771165398e-08,0.0004043397999477326,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.15,0.0,1,1.0098489290043076,1.005076247232341,5.428913725665081e-08,0.00046183733075918815,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.15,0.0,2,1.0098436166507414,1.0050413619192162,6.030854111553851e-08,0.00044187461216291474,1.0,JHANA_ATTRACTOR_REACHED
0.02,0.15,0.0,3,1.0098537415873214,1.0050447668080695,6.364459437702916e-08,0.00041068492096668825,1.0,JHANA_ATTRACTOR_REACHED
